NC_009437.1 Caldicellulosiruptor saccharolyticus DSM 8903, complete genome
NC_013595.1 Streptosporangium roseum DSM 43021, complete genome
NC_012691.1 Tolumonas auensis DSM 9187, complete genome
NC_015416.1 Methanosaeta concilii GP-6, complete genome
NC_008781.1 Polaromonas naphthalenivorans CJ2, complete genome
NZ_ABIN01000353.1 Mycobacterium intracellulare ATCC 13950 contig00389, whole genome shotgun sequence
NC_013854.1 Azospirillum sp. B510 DNA, complete genome
NZ_LHUX01000001.1 Pseudomonas protegens strain PF PREFIX_contig_1, whole genome shotgun sequence
NC_007912.1 Saccharophagus degradans 2-40, complete genome
NC_014151.1 Cellulomonas flavigena DSM 20109, complete genome
NC_010725.1 Methylobacterium populi BJ001, complete genome
NC_008254.1 Chelativorans sp. BNC1, complete genome
NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete genome
NC_014218.1 Arcanobacterium haemolyticum DSM 20595, complete genome
NC_015387.1 Marinithermus hydrothermalis DSM 14884, complete genome
NC_013172.1 Brachybacterium faecium DSM 4810 chromosome, complete genome
NC_014006.1 Sphingobium japonicum UT26S DNA, chromosome 1, complete genome
NC_012522.1 Rhodococcus opacus B4 DNA, complete genome
NZ_AUTP01000001.1 Pseudoalteromonas sp. TAB23 ctg1, whole genome shotgun sequence
NZ_CP012172.1 Metallosphaera sedula strain ARS50-1, complete genome
NZ_GL833109.1 Lactobacillus ruminis ATCC 25644 genomic scaffold SCAFFOLD1, whole genome shotgun sequence
NC_014964.1 Thermoanaerobacter brockii subsp. finnii Ako-1, complete genome
NC_009033.1 Staphylothermus marinus F1, complete genome
NC_014562.1 Pantoea vagans C9-1, complete genome
NC_012785.1 Kosmotoga olearia TBF 19.5.1, complete genome
NC_012440.1 Persephonella marina EX-H1, complete genome
NC_008313.1 Ralstonia eutropha H16 chromosome 1
NC_013523.1 Sphaerobacter thermophilus DSM 20745 chromosome 1, complete sequence
NC_016641.1 Paenibacillus terrae HPL-003, complete genome
NZ_LXBO01000001.1 Burkholderia pseudomallei strain MSHR2845 MSHR2845_10, whole genome shotgun sequence
NC_010162.1 Sorangium cellulosum 'So ce 56' complete genome
NC_006908.1 Mycoplasma mobile 163K complete genome
NZ_CM001149.1 Rhodococcus equi ATCC 33707 chromosome, whole genome shotgun sequence
NC_014355.1 Candidatus Nitrospira defluvii chromosome, complete genome
NC_021592.1 Ferroplasma acidarmanus fer1, complete genome
AE017199.1 Nanoarchaeum equitans Kin4-M, complete genome
NZ_MAIF01000001.1 Methanosphaera sp. A6 contig_1, whole genome shotgun sequence
NC_007899.1 Chlamydia felis Fe/C-56 Fe/C-56 DNA, complete genome
NZ_CDDK01000001.1 Aeromonas veronii bv. veronii genome assembly PRJEB7044, contig A_veronii_bvveronii_F328_contig52, whole genome shotgun sequence
NC_012225.1 Brachyspira hyodysenteriae WA1, complete genome
NC_011959.1 Thermomicrobium roseum DSM 5159, complete genome
NZ_LIIM01000001.1 Candidatus Liberibacter asiaticus strain YCPsy YC.Contig1, whole genome shotgun sequence
NC_009952.1 Dinoroseobacter shibae DFL 12, complete genome
NC_009634.1 Methanococcus vannielii SB, complete genome
NC_007086.1 Xanthomonas campestris pv. campestris str. 8004, complete genome
NC_006526.2 Zymomonas mobilis subsp. mobilis ZM4, complete genome
NC_015578.1 Treponema primitia ZAS-2, complete genome
NC_010571.1 Opitutus terrae PB90-1, complete genome
NC_010545.1 Corynebacterium urealyticum DSM 7109 complete genome
NC_014008.1 Coraliomargarita akajimensis DSM 45221, complete genome
NC_010622.1 Burkholderia phymatum STM815 chromosome 1, complete sequence
NC_018515.1 Desulfosporosinus meridiei DSM 13257, complete genome
NC_014614.1 Clostridium sticklandii str. DSM 519 chromosome, complete genome
NC_015172.1 Syntrophobotulus glycolicus DSM 8271, complete genome
NZ_JRUT01000001.1 Lactobacillus acidophilus strain ATCC 4356 scaffold01, whole genome shotgun sequence
NC_011146.1 Geobacter bemidjiensis Bem, complete genome
NC_014830.1 Intrasporangium calvum DSM 43043, complete genome
NZ_BBNA01000139.1 Citrobacter rodentium NBRC 105723, whole genome shotgun sequence
NC_012751.1 Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum) genome
NC_008347.1 Maricaulis maris MCS10, complete genome
NC_009792.1 Citrobacter koseri ATCC BAA-895, complete genome
NC_012791.1 Variovorax paradoxus S110 chromosome 1, complete sequence
NC_015315.1 Thermoproteus uzoniensis 768-20, complete genome
NC_013093.1 Actinosynnema mirum DSM 43827, complete genome
NC_008027.1 Pseudomonas entomophila str. L48 chromosome,complete sequence
NC_008726.1 Mycobacterium vanbaalenii PYR-1, complete genome
NC_002927.3 Bordetella bronchiseptica strain RB50, complete genome
NC_020127.1 Lawsonia intracellularis N343, complete genome
NC_015519.1 Tepidanaerobacter acetatoxydans Re1, complete genome
NC_018673.1 Leuconostoc carnosum JB16, complete genome
NC_013385.1 Ammonifex degensii KC4, complete genome
NZ_JRWE01000001.1 Flavobacterium psychrophilum strain TN contig0, whole genome shotgun sequence
NZ_FQMB01000027.1 Staphylococcus aureus strain 3688STDY6125055, whole genome shotgun sequence
NC_014539.1 Burkholderia sp. CCGE1003 chromosome 1, complete sequence
CP000117.1 Anabaena variabilis ATCC 29413, complete genome
NC_007484.1 Nitrosococcus oceani ATCC 19707, complete genome
NC_011989.1 Agrobacterium vitis S4 chromosome 1, complete sequence
NC_020992.1 Rickettsia prowazekii str. NMRC Madrid E, complete genome
NZ_CP009981.1 Bacillus anthracis strain Ames, complete genome
NC_012633.1 Rickettsia africae ESF-5, complete genome
NC_012917.1 Pectobacterium carotovorum subsp. carotovorum PC1, complete genome
NC_008576.1 Magnetococcus marinus MC-1, complete genome
NC_006576.1 Synechococcus elongatus PCC 6301 DNA, complete genome
NC_014484.1 Spirochaeta thermophila DSM 6192, complete genome
NC_002977.6 Methylococcus capsulatus str. Bath, complete genome
NC_008525.1 Pediococcus pentosaceus ATCC 25745, complete genome
NZ_GL379574.1 Rothia dentocariosa M567 supercont1.1, whole genome shotgun sequence
NC_002939.5 Geobacter sulfurreducens PCA chromosome, complete genome
NC_014217.1 Starkeya novella DSM 506, complete genome
NC_010482.1 Candidatus Korarchaeum cryptofilum OPF8, complete genome
NC_013119.1 Brucella microti CCM 4915 chromosome 1, complete sequence
NC_013216.1 Desulfotomaculum acetoxidans DSM 771, complete genome
NC_005835.1 Thermus thermophilus HB27, complete genome
NZ_FNNX01000090.1 Nitrosomonas europaea strain Nm50, whole genome shotgun sequence
NC_007954.1 Shewanella denitrificans OS217, complete genome
NZ_CH724140.1 Photobacterium profundum 3TCK scf_1099451005291 genomic scaffold, whole genome shotgun sequence
NZ_JYOY01000001.1 Streptococcus salivarius strain UC3162 TZ99_contig000001, whole genome shotgun sequence
NZ_JNOR01000001.1 Chlamydia muridarum strain Var001 cmm9.contig.0, whole genome shotgun sequence
NC_015636.1 Methanothermococcus okinawensis IH1, complete genome
NZ_ABFV01000241.1 Saccharopolyspora erythraea NRRL 2338 ctg134, whole genome shotgun sequence
NC_009776.1 Ignicoccus hospitalis KIN4/I, complete genome
NC_011529.1 Thermococcus onnurineus NA1, complete genome
NC_010556.1 Exiguobacterium sibiricum 255-15, complete genome
NC_013861.1 Legionella longbeachae NSW150, complete genome
NC_014103.1 Bacillus megaterium DSM319, complete genome
NC_007498.2 Pelobacter carbinolicus DSM 2380, complete genome
NC_008751.1 Desulfovibrio vulgaris DP4, complete genome
NZ_ACPX01000237.1 Xanthomonas fuscans subsp. aurantifolii str. ICPB 11122 xaub_ctg9_0, whole genome shotgun sequence
NC_012962.1 Photorhabdus asymbiotica ATCC43949 complete genome
NC_013132.1 Chitinophaga pinensis DSM 2588, complete genome
BA000002.3 Aeropyrum pernix K1 DNA, complete genome
NC_008578.1 Acidothermus cellulolyticus 11B, complete genome
NZ_GG666849.1 Bifidobacterium longum subsp. longum ATCC 55813 SCAFFOLD1, whole genome shotgun sequence
NC_013960.1 Nitrosococcus halophilus Nc4, complete genome
NZ_LVEB01000001.1 Waddlia chondrophila WSU 86-1044 NODE_1, whole genome shotgun sequence
NC_011295.1 Coprothermobacter proteolyticus DSM 5265, complete genome
NC_011969.1 Bacillus cereus Q1, complete genome
NC_014014.1 Mycoplasma crocodyli MP145, complete genome
NC_013192.1 Leptotrichia buccalis DSM 1135, complete genome
NC_008346.1 Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete genome
NC_013205.1 Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446, complete genome
NC_009379.1 Polynucleobacter asymbioticus QLW-P1DMWA-1, complete genome
NC_003901.1 Methanosarcina mazei strain Goe1, complete genome
NC_015259.1 Polymorphum gilvum SL003B-26A1, complete genome
NC_022546.1 Plautia stali symbiont DNA, complete genome
NC_015177.1 Pedobacter saltans DSM 12145, complete genome
NC_013956.2 Pantoea ananatis LMG 20103, complete genome
NC_014328.1 Clostridium ljungdahlii DSM 13528, complete genome
NC_007712.1 Sodalis glossinidius str. 'morsitans' DNA, complete genome
NC_004432.1 Mycoplasma penetrans HF-2 DNA, complete genome
NC_011026.1 Chloroherpeton thalassium ATCC 35110, complete genome
NC_015602.1 Lactobacillus kefiranofaciens ZW3, complete genome
NZ_CP009846.1 Yersinia enterocolitica strain 8081, complete genome
NC_013315.1 Clostridium difficile CD196 complete genome, strain CD196
NC_021915.1 Corynebacterium maris DSM 45190, complete genome
NC_007955.1 Methanococcoides burtonii DSM 6242, complete genome
NC_012968.1 Methylotenera mobilis JLW8, complete genome
NZ_AEMI01000043.1 Leuconostoc gelidum subsp. gelidum KCTC 3527 contig00049, whole genome shotgun sequence
NC_014933.1 Bacteroides helcogenes P 36-108, complete genome
NC_013642.1 Thermotoga naphthophila RKU-10, complete genome
NC_008255.1 Cytophaga hutchinsonii ATCC 33406, complete genome
NC_011899.1 Halothermothrix orenii H 168, complete genome
NC_008699.1 Nocardioides sp. JS614, complete genome
NC_012032.1 Chloroflexus sp. Y-400-fl, complete genome
NC_014171.1 Bacillus thuringiensis BMB171, complete genome
NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome
NC_014624.2 Eubacterium limosum KIST612, complete genome
NC_000917.1 Archaeoglobus fulgidus DSM 4304, complete genome
NC_008048.1 Sphingopyxis alaskensis RB2256, complete genome
NC_010337.2 Heliobacterium modesticaldum Ice1 strain Ice1, complete genome
NZ_LLLC01000001.1 Pseudomonas aeruginosa strain WH-SGI-V-07065 WH-SGI-V-07065_contig1, whole genome shotgun sequence
NC_013939.1 Deferribacter desulfuricans SSM1 DNA, complete genome
NC_015496.1 Krokinobacter sp. 4H-3-7-5, complete genome
NC_002935.2 Corynebacterium diphtheriae NCTC 13129, complete genome
NC_008340.1 Alkalilimnicola ehrlichii MLHE-1, complete genome
NC_010581.1 Beijerinckia indica subsp. indica ATCC 9039, complete genome
NC_015873.1 Megasphaera elsdenii strain DSM 20460 draft genome
NZ_CP007477.1 Ehrlichia chaffeensis str. Osceola, complete genome
NC_012559.1 Laribacter hongkongensis HLHK9, complete genome
NC_016785.1 Corynebacterium diphtheriae CDCE 8392, complete genome
NC_015856.1 Collimonas fungivorans Ter331, complete genome
NZ_CM000714.1 Bacillus cereus m1293 chromosome, whole genome shotgun sequence
NC_013222.1 Robiginitalea biformata HTCC2501, complete genome
NC_017146.1 Acetobacter pasteurianus IFO 3283-26 DNA, complete genome
NC_008229.1 Helicobacter acinonychis str. Sheeba complete genome, strain Sheeba
NC_016114.1 Streptomyces pratensis ATCC 33331, complete genome
NZ_APBH01000001.1 Acinetobacter baumannii ABNIH19 contig00001, whole genome shotgun sequence
NC_011566.1 Shewanella piezotolerans WP3, complete genome
NC_004113.1 Thermosynechococcus elongatus BP-1 chromosome, complete genome
NC_013162.1 Capnocytophaga ochracea DSM 7271, complete genome
NC_010531.1 Polynucleobacter necessarius subsp. necessarius STIR1, complete genome
NC_008554.1 Syntrophobacter fumaroxidans MPOB, complete genome
NC_013501.1 Rhodothermus marinus DSM 4252, complete genome
NC_013131.1 Catenulispora acidiphila DSM 44928, complete genome
NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome
NZ_GL878507.1 Streptococcus sanguinis SK1 genomic scaffold SCAFFOLD1, whole genome shotgun sequence
NC_010002.1 Delftia acidovorans SPH-1, complete genome
NC_017586.1 Streptomyces cattleya DSM 46488, complete genome
NC_015722.1 Candidatus Midichloria mitochondrii IricVA, complete genome
NZ_MUJA01000010.1 Lactobacillus gasseri strain AL5 scaffold10_size2407, whole genome shotgun sequence
NC_002771.1 Mycoplasma pulmonis UAB CTIP, complete genome
NC_014253.1 Methanohalobium evestigatum Z-7303, complete genome
NC_014738.1 Riemerella anatipestifer DSM 15868, complete genome
NC_007333.1 Thermobifida fusca YX, complete genome
NZ_ADKM02000136.1 Ruminococcus albus 8 contig00071, whole genome shotgun sequence
NZ_CP013939.1 Streptococcus thermophilus strain S9, complete genome
NZ_CGBZ01000001.1 Streptococcus agalactiae genome assembly 6630_6#20, scaffold ERS039656SCcontig000001, whole genome shotgun sequence
FN869568.1 Halomonas elongata DSM 2581, complete genome
NC_010602.1 Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)' chromosome I, complete sequence
NC_008825.1 Methylibium petroleiphilum PM1, complete genome
NC_007907.1 Desulfitobacterium hafniense Y51 DNA, complete genome
NC_008752.1 Acidovorax citrulli AAC00-1, complete genome
NZ_CM001762.1 Mycobacterium smegmatis MKD8 chromosome, whole genome shotgun sequence
NZ_AXZY01000001.1 Burkholderia cenocepacia S2AES contig00001, whole genome shotgun sequence
NC_013282.2 Cronobacter turicensis z3032 complete genome
NZ_CHZU01000001.1 Neisseria gonorrhoeae genome assembly 8727_8#52, scaffold ERS135584SCcontig000001, whole genome shotgun sequence
NZ_CP015052.1 Leptospira borgpetersenii serovar Hardjo strain NVSL S 818 chromosome 1 sequence
NZ_KB945761.1 Enterococcus faecalis B878 genomic scaffold acHWt-supercont1.1, whole genome shotgun sequence
NZ_APIT01000001.1 Stenotrophomonas maltophilia AU12-09 contig00001, whole genome shotgun sequence
NC_002491.1 Chlamydophila pneumoniae J138 genomic DNA, complete sequence
NC_012804.1 Thermococcus gammatolerans EJ3, complete genome
NC_007164.1 Corynebacterium jeikeium K411 complete genome
CP000477.1 Methanosaeta thermophila PT, complete genome
NC_018290.1 Phaeobacter inhibens DSM 17395, complete genome
NC_008555.1 Listeria welshimeri serovar 6b str. SLCC5334 complete genome
NZ_JVSR01000007.1 Streptococcus parasanguinis strain 139.rep2_SPAR 102_16358_239263, whole genome shotgun sequence
NZ_BBNC01000091.1 Pseudomonas putida DNA, contig: Pps03S_CON90119, strain: YKD221, whole genome shotgun sequence
NZ_CP015044.1 Leptospira borgpetersenii serovar Hardjo strain BK-6 chromosome 1 sequence
NC_003869.1 Thermoanaerobacter tengcongensis MB4, complete genome
NZ_AJHC01000001.1 Rickettsia conorii subsp. indica ITTR contig01, whole genome shotgun sequence
NC_015731.1 Nitrosomonas sp. Is79A3, complete genome
NC_016078.1 Pelagibacterium halotolerans B2, complete genome
NZ_AGNS01000074.1 Carnobacterium maltaromaticum ATCC 35586 contig00099, whole genome shotgun sequence
NC_008312.1 Trichodesmium erythraeum IMS101, complete genome
NC_015435.1 Metallosphaera cuprina Ar-4, complete genome
NC_012918.1 Geobacter sp. M21, complete genome
NZ_AJVU01000001.1 Escherichia coli O111:H8 str. CVM9570 ECO9570_1, whole genome shotgun sequence
NC_021149.1 Azotobacter vinelandii CA, complete genome
NC_006396.1 Haloarcula marismortui ATCC 43049 chromosome I, complete sequence
NC_014306.1 Erwinia billingiae strain Eb661 complete chromosome
NC_012704.1 Corynebacterium kroppenstedtii DSM 44385, complete genome
NC_010524.1 Leptothrix cholodnii SP-6, complete genome
NC_014152.1 Thermincola sp. JR, complete genome
NZ_CP009633.1 Francisella tularensis subsp. novicida U112, complete genome
NZ_ALJB01000001.1 Pseudomonas stutzeri T13 contig000001, whole genome shotgun sequence
NZ_CM002545.1 Xanthomonas campestris pv. campestris str. CFBP 1869 chromosome, whole genome shotgun sequence
NC_014150.1 Brachyspira murdochii DSM 12563, complete genome
NZ_AENO01000058.1 Porphyromonas asaccharolytica PR426713P-I contig00005, whole genome shotgun sequence
NZ_AXUT01000001.1 Shigella dysenteriae WRSd3 Contig0001, whole genome shotgun sequence
NC_010505.1 Methylobacterium radiotolerans JCM 2831, complete genome
NZ_FQWN01000063.1 Xylella fastidiosa strain DSM 10026, whole genome shotgun sequence
AP009389.1 Pelotomaculum thermopropionicum SI DNA, complete genome
NZ_LRGL01000001.1 Streptococcus pyogenes strain SST2088-1 Contig_1, whole genome shotgun sequence
NC_016621.1 Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu, complete genome
NZ_JHLW01000001.1 Escherichia coli O111:NM str. 2011C-3362 contig1, whole genome shotgun sequence
NC_011894.1 Methylobacterium nodulans ORS 2060, complete genome
NC_007109.1 Rickettsia felis URRWXCal2, complete genome
NC_000868.1 Pyrococcus abyssi complete genome
MJEF01000001.1 Enterococcus casseliflavus strain F1129E 107 ENT22_contig000001, whole genome shotgun sequence
NC_017355.1 Helicobacter pylori v225d, complete genome
NC_014910.1 Alicycliphilus denitrificans BC, complete genome
NC_016112.1 Methylomicrobium alcaliphilum str. 20Z chromosome, complete genome
NC_017505.1 Neisseria meningitidis alpha710, complete genome
NZ_KI973159.1 Enterobacter aerogenes UCI 16 adjcb-supercont1.1, whole genome shotgun sequence
NZ_DS264586.1 Actinomyces odontolyticus ATCC 17982 Scfld021 genomic scaffold, whole genome shotgun sequence
NZ_LN871187.1 Pseudomonas aeruginosa genome assembly PAO1OR, chromosome : I
NC_014221.1 Truepera radiovictrix DSM 17093, complete genome
NZ_CWLR01000001.1 Listeria monocytogenes isolate LM33, whole genome shotgun sequence
NC_014501.1 Cyanothece sp. PCC 7822, complete genome
NC_018092.1 Pyrococcus furiosus COM1, complete genome
NC_015673.1 Corynebacterium resistens DSM 45100, complete genome
NZ_LCXH01000001.1 Streptococcus agalactiae strain GB-PW-110 ctg7180000002990, whole genome shotgun sequence
NC_017520.1 Mycoplasma haemofelis Ohio2, complete genome
NC_010001.1 Clostridium phytofermentans ISDg, complete genome
NC_014974.1 Thermus scotoductus SA-01, complete genome
NC_013729.1 Kribbella flavida DSM 17836, complete genome
NC_007984.1 Baumannia cicadellinicola str. Hc (Homalodisca coagulata), complete genome
NC_008541.1 Arthrobacter sp. FB24, complete genome
NC_020555.1 Helicobacter cinaedi CCUG 18818 = ATCC BAA-847 DNA, complete genome
NC_004061.1 Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome
NZ_AOJQ01000001.1 Pseudomonas syringae pv. actinidiae ICMP 19103 scaffold253, whole genome shotgun sequence
NC_007802.1 Jannaschia sp. CCS1, complete genome
NZ_JQEW01000001.1 Mycobacterium bovis strain 0822-11 MB082211_ctg0001, whole genome shotgun sequence
NC_007356.1 Dehalococcoides sp. CBDB1 complete genome
NC_018632.1 Alteromonas macleodii ATCC 27126, complete genome
NC_008709.1 Psychromonas ingrahamii 37, complete genome
NC_008942.1 Methanocorpusculum labreanum Z, complete genome
NC_014314.1 Dehalogenimonas lykanthroporepellens BL-DC-9, complete genome
NC_009659.1 Janthinobacterium sp. Marseille, complete genome
NC_014106.1 Lactobacillus crispatus ST1 complete genome, strain ST1
NC_015185.1 Desulfurobacterium thermolithotrophum DSM 11699, complete genome
NC_014100.1 Caulobacter segnis ATCC 21756, complete genome
NZ_AOHS01000001.1 Natrialba magadii ATCC 43099 strain MS-3 contig_1, whole genome shotgun sequence
NC_021081.1 Meiothermus ruber DSM 1279 genome
NC_015216.1 Methanobacterium lacus strain AL-21, complete genome
JUPE01000001.1 Staphylococcus haemolyticus strain 89_SHAE 0_213_513, whole genome shotgun sequence
NC_012793.1 Geobacillus sp. WCH70, complete genome
NC_015859.1 Corynebacterium variabile DSM 44702, complete genome
NC_015635.1 Microlunatus phosphovorus NM-1 DNA, complete genome
NC_005362.1 Lactobacillus johnsonii NCC 533, complete genome
NC_005126.1 Photorhabdus luminescens subsp. laumondii TTO1 complete genome
NC_016630.1 Filifactor alocis ATCC 35896, complete genome
NC_011831.1 Chloroflexus aggregans DSM 9485, complete genome
NC_013895.2 Clostridiales genomosp. BVAB3 str. UPII9-5, complete genome
NC_020911.1 Octadecabacter antarcticus 307, complete genome
CP001654.1 UNVERIFIED: Dickeya dadantii Ech703, complete genome
NZ_FRJM01000127.1 Pseudomonas aeruginosa isolate 156, whole genome shotgun sequence
NZ_CP010558.1 Treponema pallidum subsp. pallidum strain Chicago Population genome
NC_008278.1 Frankia alni str. ACN14A chromosome, complete sequence
NC_011565.1 Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 DNA, complete genome
NC_014136.1 Leuconostoc kimchii IMSNU 11154, complete genome
NC_011144.1 Phenylobacterium zucineum HLK1, complete genome
NC_014924.1 Pseudoxanthomonas suwonensis 11-1, complete genome
NZ_GG667606.1 Veillonella dispar ATCC 17748 Scfld2, whole genome shotgun sequence
NC_018079.1 Enterobacter cloacae subsp. dissolvens SDM, complete genome
NC_009881.1 Rickettsia akari str. Hartford, complete genome
NC_009718.1 Fervidobacterium nodosum Rt17-B1, complete genome
NC_015520.1 Mahella australiensis 50-1 BON, complete genome
NC_008025.1 Deinococcus geothermalis DSM 11300, complete genome
NC_013715.1 Rothia mucilaginosa DY-18 DNA, complete genome
NC_013517.1 Sebaldella termitidis ATCC 33386, complete genome
NC_013166.1 Kangiella koreensis DSM 16069, complete genome
NZ_CM007782.1 Rhodopseudomonas palustris strain ELI 1980 plasmid pRpELI1980, whole genome shotgun sequence
NZ_CP006777.1 Clostridium beijerinckii ATCC 35702, complete genome
NC_007493.2 Rhodobacter sphaeroides 2.4.1 chromosome 1, complete sequence
NC_016024.1 Chloracidobacterium thermophilum B chromosome 1, complete sequence
NC_011985.1 Agrobacterium radiobacter K84 chromosome 1, complete sequence
NC_013061.1 Pedobacter heparinus DSM 2366, complete genome
NC_017243.1 Brachyspira intermedia PWS/A, complete genome
NC_000907.1 Haemophilus influenzae Rd KW20 chromosome, complete genome
NC_009337.1 Chlorobium phaeovibrioides DSM 265, complete genome
NC_014616.1 Bifidobacterium bifidum S17, complete genome
NC_007510.1 Burkholderia sp. 383 chromosome 1, complete sequence
NC_006833.1 Wolbachia endosymbiont strain TRS of Brugia malayi, complete genome
NC_014816.1 Asticcacaulis excentricus CB 48 chromosome 1, complete sequence
NC_013741.1 Archaeoglobus profundus DSM 5631, complete genome
NC_007295.1 Mycoplasma hyopneumoniae J, complete genome
NC_019892.1 Singulisphaera acidiphila DSM 18658, complete genome
NC_007643.1 Rhodospirillum rubrum ATCC 11170 chromosome, complete genome
NZ_LK021130.1 Vibrio anguillarum chromosome 1, strain NB10, complete sequence
NC_015186.1 Acidiphilium multivorum AIU301 DNA, complete genome
NC_010172.1 Methylobacterium extorquens PA1, complete genome
NC_008618.1 Bifidobacterium adolescentis ATCC 15703 DNA, complete genome
NC_015703.1 Runella slithyformis DSM 19594, complete genome
NC_007349.1 Methanosarcina barkeri str. Fusaro plasmid 1, complete sequence
NC_009138.1 Herminiimonas arsenicoxydans chromosome, complete sequence
NC_006156.1 Borrelia garinii PBi, complete genome
NC_014733.1 Methylovorus sp. MP688, complete genome
NC_015761.1 Salmonella bongori NCTC 12419, culture collection SGSC SARC11, complete genome
NC_009348.1 Aeromonas salmonicida subsp. salmonicida A449, complete genome
NC_014168.1 Segniliparus rotundus DSM 44985, complete genome
NZ_LAKV01000001.1 Streptococcus dysgalactiae subsp. equisimilis strain UT-5345 contig00001, whole genome shotgun sequence
NC_017934.1 Mesotoga prima MesG1.Ag.4.2, complete genome
NC_014836.1 Desulfurispirillum indicum S5, complete genome
NZ_AEFW01000030.1 Bacillus atrophaeus ATCC 49822-2 contig00045, whole genome shotgun sequence
NC_014804.1 Thermococcus barophilus MP, complete genome
NC_004842.2 Anaplasma marginale str. St. Maries, complete genome
NC_010682.1 Ralstonia pickettii 12J chromosome 1, complete sequence
NC_007947.1 Methylobacillus flagellatus KT, complete genome
NZ_ABWV01000019.1 Haemophilus influenzae 7P49H1 ctg4, whole genome shotgun sequence
NC_015460.1 Gallibacterium anatis UMN179, complete genome
NC_014658.1 Methanothermus fervidus DSM 2088, complete genome
NC_021057.1 Candidatus Moranella endobia PCVAL, complete genome
NZ_CP018190.1 Granulibacter bethesdensis strain NIH5.1, complete genome
NC_016041.1 Glaciecola nitratireducens FR1064, complete genome
NZ_ACZP01000024.1 Vibrio furnissii CIP 102972 VFA.Contig102, whole genome shotgun sequence
NZ_CP009230.1 Aggregatibacter aphrophilus NJ8700, complete genome
NC_016751.1 Marinitoga piezophila KA3, complete genome
NZ_JYCZ01000018.1 Thermosipho melanesiensis strain 433 Contig_10, whole genome shotgun sequence
NC_014963.1 Terriglobus saanensis SP1PR4, complete genome
NZ_GG670403.1 Enterococcus casseliflavus EC30 plasmid scaffold supercont1.19, whole genome shotgun sequence
NC_007406.1 Nitrobacter winogradskyi Nb-255, complete genome
NC_013456.1 Vibrio sp. Ex25 chromosome 1, complete sequence
NZ_AXZD01000001.1 Halalkalicoccus jeotgali B3 HALJEDRAFT_contig00001.1_C, whole genome shotgun sequence
NC_013949.1 Helicobacter mustelae 12198 complete genome
NC_015138.1 Acidovorax avenae subsp. avenae ATCC 19860, complete genome
NC_017161.1 Hydrogenobacter thermophilus TK-6, complete genome
NZ_AEZU02000109.1 Escherichia coli 4.0522 ctg1125528701409, whole genome shotgun sequence
NZ_ADUQ01000086.1 Escherichia coli OK1180 OK1180.assembly.9, whole genome shotgun sequence
NZ_LVYU01000001.1 Rhizobium leguminosarum strain Vaf12 Vaf12_contig_1, whole genome shotgun sequence
NC_011884.1 Cyanothece sp. PCC 7425, complete genome
NZ_GG669813.1 Lactobacillus buchneri ATCC 11577 genomic scaffold SCAFFOLD104, whole genome shotgun sequence
NC_020054.1 Fibrella aestuarina BUZ 2 drat genome
NC_007969.1 Psychrobacter cryohalolentis K5, complete genome
NC_002967.9 Treponema denticola ATCC 35405 chromosome, complete genome
NC_009438.1 Shewanella putrefaciens CN-32, complete genome
NC_007513.1 Synechococcus sp. CC9902, complete genome
NC_009664.2 Kineococcus radiotolerans SRS30216, complete genome
NZ_LPRQ01000005.1 Sulfolobus acidocaldarius strain GG12-C01-17 GG12_C01_17_scaffold1_2, whole genome shotgun sequence
NC_008531.1 Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293, complete genome
NC_015572.1 Methylomonas methanica MC09, complete genome
NC_014215.1 Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome
NZ_CTDG01000001.1 Pseudomonas aeruginosa genome assembly 238_2_5Pc_2_contgs_500, contig NODE_49_length_4819_cov_37.162_ID_97, whole genome shotgun sequence
NC_016631.1 Granulicella mallensis MP5ACTX8, complete genome
NC_015318.1 Hippea maritima DSM 10411, complete genome
NZ_CCNI01000001.1 Escherichia coli, whole genome shotgun sequence
NC_015559.1 Marinomonas posidonica IVIA-Po-181, complete genome
NC_015174.1 Planctomyces brasiliensis DSM 5305, complete genome
NC_014364.1 Spirochaeta smaragdinae DSM 11293, complete genome
NC_012526.1 Deinococcus deserti VCD115, complete genome
NC_013943.1 Denitrovibrio acetiphilus DSM 12809, complete genome
NC_018681.1 Nocardia brasiliensis ATCC 700358, complete genome
NC_011883.1 Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774, complete genome
NC_006461.1 Thermus thermophilus HB8 chromosome, complete genome
NC_009511.1 Sphingomonas wittichii RW1, complete genome
NC_013522.1 Thermanaerovibrio acidaminovorans DSM 6589 chromosome, complete genome
NC_004552.2 Chlamydophila abortus strain S26/3, complete genome
NC_007519.1 Desulfovibrio alaskensis G20, complete genome
